test,reference,k,p,z,s
ACTB,control,100,0.47491024244199165,-0.2894242986694598,0.8265682656826568
ARID2,control,100,0.23088276787368767,-0.9255487850127404,0.7400611620795107
SMARCE1,control,100,0.8035761316635939,0.6080026636874744,0.8102189781021898
ZNHIT1,control,100,0.9466924206814507,1.3576101229107247,0.7972027972027972
BRD9,control,100,0.7634233525277299,0.5033102451713045,0.7641196013289037
BPTF,control,100,0.44140343224926015,-0.3518156862911275,0.8109965635738832
PHF10,control,100,0.6967794520712046,0.3162014145513951,0.7960526315789473
SMARCA1,control,100,0.3823732285360354,-0.4944851908410107,0.7806451612903226
HDAC2,control,100,0.7789674574073037,0.5566423614391233,0.821917808219178
ARID1B,control,100,0.4340245800691199,-0.35225868006473476,0.7108433734939759
RBBP7,control,100,0.11372991712542738,-1.391882776076226,0.7418397626112759
DPF3,control,100,0.42094930071511566,-0.3863798427599492,0.7327327327327328
ACTL6B,control,100,0.7286865119582335,0.4124838812177128,0.7845659163987139
KAT5,control,100,0.054191951212148426,-4.123337406491679,0.8761904761904762
SMARCD2,control,100,0.5375863517695276,-0.09681567079699772,0.7746031746031746
DMAP1,control,100,0.8443200850350705,0.7304894918937196,0.8538461538461538
SMARCC1,control,100,0.4189362920425864,-0.40030148617280165,0.7677419354838709
GATAD2A,control,100,0.8386920139930625,0.7510651743496868,0.8201438848920863
RCOR1,control,100,0.92623169322012,1.1855724291084322,0.8098591549295775
SMARCA5,control,100,0.9228439334125069,1.0421618869453046,0.8709677419354839
SFMBT1,control,100,0.31345954320597313,-0.6839260026275243,0.7777777777777778
CHAF1B,control,100,0.4760367718399833,-0.339438776973193,0.84251968503937
MYBBP1A,control,100,0.8164985825731603,0.4568337048623985,0.8632478632478633
SIN3A,control,100,0.27954057702004187,-0.8157293117748454,0.8071428571428572
SMARCC2,control,100,0.13267082497034605,-1.3415097315227764,0.8156028368794326
BAZ2A,control,100,0.4872405713102568,-0.24024771924756116,0.7891156462585034
BAZ1A,control,100,0.9606363419364288,1.233391883650612,0.8455284552845529
ACTL6A,control,100,0.8164985825731603,0.4568337048623985,0.8559322033898306
TOP2B,control,100,0.07780471621407085,-1.616593739754221,0.7884615384615384
TRRAP,control,100,0.16536075543750095,-1.416965786698964,0.8755364806866953
CHD3,control,100,0.1597854885429517,-1.2266023375385469,0.8042704626334519
SMARCD1,control,100,0.0033677635930313863,-2.996007233944357,0.8172043010752689
INO80B,control,100,0.5233421267718246,-0.17399970385768943,0.835820895522388
MBD2,control,100,0.16776616520164886,-1.149715629675947,0.7218934911242604
ING3,control,100,0.29212094524252163,-0.7870807032254984,0.8222222222222222
SP1,control,100,0.9781308051756878,1.460675606834322,0.848
INO80C,control,100,0.5891368018448655,-0.04770899147060391,0.8203125
YY1,control,100,0.2584690619482084,-0.9731538689843692,0.8724279835390947
DDX21,control,100,0.9999999999999927,0.1835913200887181,0.8761904761904762
SF3B1,control,100,0.9999999999999927,0.1835913200887181,0.8761904761904762
RUVBL2,control,100,0.0326963137396969,-5.415943942617178,0.8803827751196173
SUPT16H,control,100,1.0,nan,0.8737864077669902
